Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Adana, Türkiye",08/01/2020,96.4,79,86.8,,108,0,0,0,16.2,181.75,,6.2,33.8,76.07,Partially cloudy
"Adana, Türkiye",08/02/2020,94.3,78.8,86,,107.9,0,0,0,14,160.88,,6.1,48.7,78.49,Partially cloudy
"Adana, Türkiye",08/03/2020,96.6,78.5,86.4,,107.3,0,0,0,15.3,186.42,,6.1,45.1,74.19,Partially cloudy
"Adana, Türkiye",08/04/2020,94.6,78.8,86,,105.1,0,0,0,15.2,163.96,,6.2,47.7,74.67,Partially cloudy
"Adana, Türkiye",08/05/2020,95.6,77.4,86.1,,105.8,0,0,0,13,160.63,,6.2,45.7,74.7,Partially cloudy
"Adana, Türkiye",08/06/2020,95.6,77.7,85.9,,105.4,0,0,0,12.6,162.42,,6.2,36,76.08,Partially cloudy
"Adana, Türkiye",08/07/2020,95.4,75.7,85.2,,105.6,0,0,0,13.9,185.5,,6.1,25.8,77.06,Partially cloudy
"Adana, Türkiye",08/08/2020,92.7,77.9,84.7,,105.2,0,0,0,14.4,163.71,,6,63.8,78.5,Partially cloudy
"Adana, Türkiye",08/09/2020,90,75.9,83.1,,98.3,0,0,0,18.1,176.17,,6.2,74.5,75.01,Partially cloudy
"Adana, Türkiye",08/10/2020,90.2,78,82.5,,97.7,0.04,0,0,15.1,191.54,,6.2,77,76.42,"Rain, Overcast"
"Adana, Türkiye",08/11/2020,95.4,74.9,84,,105.3,0,0,0,16,172.46,,6.2,43.8,76.89,Partially cloudy
"Adana, Türkiye",08/12/2020,94.9,76,84.7,,104.4,0,0,0,15.6,177.71,,6,23.3,75.52,Clear
"Adana, Türkiye",08/13/2020,97.1,76.7,85.6,,104.9,0,0,0,15.8,172.96,,6.2,19.9,72.71,Clear
"Adana, Türkiye",08/14/2020,96.4,74.8,85.1,,100.7,0,0,0,17.5,213.46,,6.2,17.9,66.52,Clear
"Adana, Türkiye",08/15/2020,97.7,67.1,83.9,,100.9,0,0,0,16.2,196.79,18.3,6.2,0,55.39,Clear
"Adana, Türkiye",08/16/2020,95.6,72.5,84,,99.4,0,0,0,14.4,136.33,,6.2,0,58.94,Clear
"Adana, Türkiye",08/17/2020,95.9,75.1,84.1,,98.9,0,0,0,14.9,161,,6.2,3.8,65.03,Clear
"Adana, Türkiye",08/18/2020,94.8,74.6,83.8,,101.6,0,0,0,12.5,159.83,,6.2,25.5,68.99,Partially cloudy
"Adana, Türkiye",08/19/2020,93.9,76.4,84.4,,103.3,0,0,0,12.8,135.38,,6.2,37.4,74.12,Partially cloudy
"Adana, Türkiye",08/20/2020,91.4,76.4,83.4,,100.6,0.08,0,0,12.5,158.17,,6.2,55.1,78.12,"Rain, Partially cloudy"
"Adana, Türkiye",08/21/2020,93.5,76.3,83.9,,103.1,0,0,0,15.4,177.58,,6.2,50,77.58,Partially cloudy
"Adana, Türkiye",08/22/2020,99.2,75.4,86.2,,96.5,0,0,0,11.5,123.96,,6.2,17.4,51.75,Clear
"Adana, Türkiye",08/23/2020,98.5,71.4,85.5,,95.7,0,0,0,14.5,114.88,30,6.2,0,40.03,Clear
"Adana, Türkiye",08/24/2020,99.2,74.2,84.3,,96.4,0,0,0,14.1,157.08,,6.2,0,41.8,Clear
"Adana, Türkiye",08/25/2020,95.7,69.2,82.3,,101,0,0,0,11.3,145.92,,6.2,8.6,61.71,Clear
